episode,Reward,step_count,goal_log
743,-146.98138460093253,0,170
744,478.51080607103194,0,171
745,-44.48320011939896,0,171
746,-39.641142257042354,0,171
747,-61.38090086301796,0,171
748,38.48839450984729,0,171
749,-31.903259097650324,0,171
750,17.61359873475906,0,171
751,-398.20025833706524,0,171
752,-444.72030249872324,0,171
753,-453.89984567882215,0,171
754,-220.03894263500175,0,171
755,503.65768556204296,0,172
756,-34.3585029389633,0,172
757,-263.751579499088,0,172
758,526.4635979873555,0,173
759,39.252460098763336,0,173
760,-32.11681058570349,0,173
761,-62.35826874936953,0,173
762,-48.05361429787085,0,173
763,-45.61733437653579,0,173
764,-25.54892554965267,0,173
765,-112.35508436060445,0,173
766,-32.173572844104015,0,173
767,-121.61780692527125,0,173
768,500.50653316519947,0,174
769,-43.460836177634846,0,174
770,-1.7763168209576854,0,174
771,110.86984077885987,0,174
772,-45.08408545278301,0,174
773,508.10601169208763,0,175
774,-50.66362683262598,0,175
775,-44.70033125689719,0,175
776,526.593492377147,0,176
777,-5.7927461042947215,0,176
778,-61.926328117053515,0,176
779,102.45252949248672,0,176
780,-182.21589944584989,0,176
781,504.1358109027835,0,177
782,60.248230773550105,0,177
783,-15.715213185633296,0,177
784,-42.904867138131806,0,177
785,-63.453523920723114,0,177
786,-46.08898935059279,0,177
787,500.7888446374892,0,178
788,483.7812566449751,0,179
789,502.06941663739036,0,180
790,-257.1942026699012,0,180
791,-52.439672773727054,0,180
792,504.0527559409944,0,181
793,246.0630549106942,0,181
794,7.407187331436415,0,181
795,500.78487441789065,0,182
796,176.09624681610293,0,182
797,59.74028387588871,0,182
798,96.35060873106391,0,182
799,494.34331396921795,0,183
800,129.2232187370704,0,183
801,-53.51262718634385,0,183
802,-32.166718338653794,0,183
803,187.08993480798895,0,183
804,495.03444590796744,0,184
805,509.421506131348,0,185
806,186.7929781273476,0,185
807,-131.04346839596664,0,185
808,299.31542152239683,0,185
809,-32.19312422920694,0,185
810,-213.2770257451515,0,185
811,-75.22228961775242,0,185
812,504.7891138499668,0,186
813,-79.9105865418413,0,186
814,-32.20669924108094,0,186
815,225.63226706681417,0,186
816,-166.92323571332932,0,186
817,-10.502358244472305,0,186
818,494.72241943408136,0,187
819,-20.923954205624838,0,187
820,-97.2538605579781,0,187
821,-47.50201169703377,0,187
822,59.46219610063947,0,187
823,507.5039326883298,0,188
824,592.3199604260449,0,189
825,176.33173846429594,0,189
826,-49.303289134242874,0,189
827,504.3106254817429,0,190
828,22.11208914576338,0,190
829,-45.579518387318885,0,190
830,508.29145012453586,0,191
831,80.26035003286802,0,191
832,-91.45757676251961,0,191
833,-119.75318316383829,0,191
834,-32.02220216954177,0,191
835,-14.217988137920251,0,191
836,504.0303847751019,0,192
837,65.98696167118617,0,192
838,-40.783928927205224,0,192
839,507.2377367140611,0,193
840,538.0190105620661,0,194
841,560.7040716506111,0,195
842,-26.668624223261666,0,195
843,-26.675072681331397,0,195
844,-24.099422750027855,0,195
845,-21.49849004341803,0,195
846,-62.75087328430358,0,195
847,503.84353829286283,0,196
848,51.08843350495344,0,196
849,501.0741700029138,0,197
850,514.1468722969836,0,198
851,-22.95648655756398,0,198
